# Cerca lineal. Temps en microsegons
# Talla      Pitjor     Millor    Promedi
#----------------------------------------
   10000      6.419      1.740      3.709
   20000      9.581      1.740      8.633
   30000     13.425      1.741     12.128
   40000     17.342      1.743     15.653
   50000     21.348      1.745     19.256
   60000     25.910      1.767     22.698
   70000     30.441      1.758     26.225
   80000     34.520      1.745     30.105
   90000     38.505      1.747     33.554
  100000     42.687      1.748     37.110
# Cerca lineal. Temps en microsegons
# Talla      Pitjor     Millor    Promedi
#----------------------------------------
   10000      6.412      1.767      3.723
   20000      9.506      1.778      8.732
   30000     13.490      1.796     12.171
